date,avg_heart_rate_z
2019-12-30,0.13317417905124282
2019-12-31,0.12851408214542726
2020-01-01,0.12011528499570119
2020-01-02,0.12356500226244567
2020-01-03,0.11843488956678348
2020-01-04,0.11429451016215574
2020-01-05,0.1304039470866183
2020-01-06,0.13967838672419816
2020-01-07,0.1357816746177241
2020-01-08,0.1196478998651033
2020-01-09,0.1394851147618859
2020-01-10,0.09810896283964259
2020-01-11,0.11633019078056651
2020-01-12,0.13467865113321437
2020-01-13,0.11930699255319187
2020-01-14,0.10896541661328413
2020-01-15,0.13031014330302984
2020-01-16,0.12331878294380458
2020-01-17,0.09512458887831993
2020-01-18,0.11575928141187299
2020-01-19,0.09951498238043659
2020-01-20,0.09894008574752154
2020-01-21,0.11521481798733757
2020-01-22,0.12000328472228063
2020-01-23,0.11686858623050093
2020-01-24,0.09319901775635181
2020-01-25,0.11511190230140314
2020-01-26,0.1126871479235209
2020-01-27,0.09115817698651067
2020-01-28,0.11787206156423022
2020-01-29,0.09904339061794566
2020-01-30,0.11395728351521175
2020-01-31,0.10543863613510415
2020-02-01,0.1183188789203581
2020-02-02,0.12168845125322829
2020-02-03,0.10597514502548684
2020-02-04,0.12233573836931488
2020-02-05,0.12813199969845493
2020-02-06,0.12884120363098633
2020-02-07,0.09897906060455444
2020-02-08,0.12069265126621649
2020-02-09,0.11195283671685324
2020-02-10,0.11931770756108225
2020-02-11,0.11842767614595319
2020-02-12,0.127387081189531
2020-02-13,0.12218474041885688
2020-02-14,0.1271558323845125
2020-02-15,0.10436978330790786
2020-02-16,0.1153559032489606
2020-02-17,0.10066844351494562
2020-02-18,0.11558813973331562
2020-02-19,0.10781730605208358
2020-02-20,0.11857277116653317
2020-02-21,0.12216168141451643
2020-02-22,0.12274405433433003
2020-02-23,0.10770827615157114
2020-02-24,0.102499525382022
2020-02-25,0.10712224377842293
2020-02-26,0.11861670581086728
2020-02-27,0.12374532323096624
2020-02-28,0.1088245414454876
2020-02-29,0.11531580617520917
2020-03-01,0.11736759303207743
2020-03-02,0.11173240795975552
2020-03-03,0.12731035621845255
2020-03-04,0.12589172189018732
2020-03-05,0.11605187778273554
2020-03-06,0.13206380018936595
2020-03-07,0.12401875514816943
2020-03-08,0.13505577497188526
2020-03-09,0.13656875490154094
2020-03-10,0.12023805287877941
2020-03-11,0.1385916525252147
2020-03-12,0.11543785488787206
2020-03-13,0.13045514025365812
2020-03-14,0.14208713983452395
2020-03-15,0.14373268731419814
2020-03-16,0.10950141585108618
2020-03-17,0.13207280545372443
2020-03-18,0.10804281425176271
2020-03-19,0.10463222289731926
2020-03-20,0.12045829733574116
2020-03-21,0.105825851180955
2020-03-22,0.12132158377971816
2020-03-23,0.10909412671407782
2020-03-24,0.1091220792222574
2020-03-25,0.13349681469037808
2020-03-26,0.10796767118151639
2020-03-27,0.10315450654036236
2020-03-28,0.10479812930778377
2020-03-29,0.12235422748984157
2020-03-30,0.10784294820240478
2020-03-31,0.10921383645923768
2020-04-01,0.12030563959323073
2020-04-02,0.10969930664985796
2020-04-03,0.09459105216665425
2020-04-04,0.1084710809031653
2020-04-05,0.10836225393205694
2020-04-06,0.11081820335862953
2020-04-07,0.10486938815102655
2020-04-08,0.11042000327790459
2020-04-09,0.11083012008129803
2020-04-10,0.10194273720727322
2020-04-11,0.10427655817599968
2020-04-12,0.11200137202631917
2020-04-13,0.11070044796233215
2020-04-14,0.11435794177317737
2020-04-15,0.12640239487560204
2020-04-16,0.11933767212902656
2020-04-17,0.09871524688587079
2020-04-18,0.11011080396141429
2020-04-19,0.10876850548315573
2020-04-20,0.11063796778455244
2020-04-21,0.0992979444034446
2020-04-22,0.11414252072800862
2020-04-23,0.11173875146691295
2020-04-24,0.08664518204387209
2020-04-25,0.10265933777775207
2020-04-26,0.10164970157754487
2020-04-27,0.10593902687798656
2020-04-28,0.10802371353973339
2020-04-29,0.12885894367694034
2020-04-30,0.10540466168232066
2020-05-01,0.0969395851364121
2020-05-02,0.1200263587897993
2020-05-03,0.09958429410325491
2020-05-04,0.11962833996089624
2020-05-05,0.10897184388556375
2020-05-06,0.1295395608033669
2020-05-07,0.11517077742569869
2020-05-08,0.08562848346815796
2020-05-09,0.10853226062911726
2020-05-10,0.0984378391944979
2020-05-11,0.11136985006145106
2020-05-12,0.11531106565602757
2020-05-13,0.10941359457410635
2020-05-14,0.11321988163381423
2020-05-15,0.12494187209175647
2020-05-16,0.12136436774013071
2020-05-17,0.11150059098777249
2020-05-18,0.11040466714057387
2020-05-19,0.130610868209261
2020-05-20,0.11304582484878223
2020-05-21,0.13864868242924136
2020-05-22,0.10940149254930644
2020-05-23,0.11789981167824538
2020-05-24,0.12057816169224145
2020-05-25,0.12977571294507323
2020-05-26,0.13534745531078643
2020-05-27,0.13614516664523252
2020-05-28,0.11203907283071739
2020-05-29,0.10323685314287674
2020-05-30,0.1031642156664804
2020-05-31,0.08297321749076084
2020-06-01,0.09754094362097679
2020-06-02,0.11639067725604454
2020-06-03,0.09736072975139308
2020-06-04,0.09992948457292092
2020-06-05,0.09088315711771273
2020-06-06,0.09535178406652466
2020-06-07,0.10217449203425664
2020-06-08,0.09921989097291464
2020-06-09,0.1127897229781261
2020-06-10,0.11361380481683571
2020-06-11,0.10797639153296398
2020-06-12,0.11316500334196876
2020-06-13,0.10377033209107639
2020-06-14,0.10127439206834248
2020-06-15,0.11320913372973437
2020-06-16,0.1187983687570662
2020-06-17,0.12392668143232434
2020-06-18,0.13522249773942915
2020-06-19,0.1237865529925401
2020-06-20,0.11848526360960913
